"year","month","exam_type","region","paper","title","prompt_text","genre","word_range","tags","source","is_active"
"2015","06","cet4","全国","2015-06-set-1","大学英语四级写作真题 2015-06 第1套","For this part, you are allowed 30 minutes to write an essay based on the picture below. You should start your essay with a brief description of the picture and then comment on this kind of modern life. You should write at least 120 words but no more than 180 words. ""This modern life: work, play, sleep.""","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2015","06","cet4","全国","2015-06-set-2","大学英语四级写作真题 2015-06 第2套","For this part, you are allowed 30 minutes to write an essay based on the picture below. You should start your essay with a brief description of the picture and then comment on the kid's understanding of going to school. You should write at least 120 words but no more than 180 words. Write your essay on Answer Sheet 1. ""Why am I going to school if my phone already knows everything?""","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2015","06","cet4","全国","2015-06-set-3","大学英语四级写作真题 2015-06 第3套","For this part, you are allowed 30 minutes to write an essay based on the picture below. You should start your essay with a brief description of the picture and then comment on parents' role in their children's growth. You should write at least 120 words but no more than 180 words. Write your essay on Answer Sheet 1. ""Good news, Mom! I was accepted to the college of your choice.""","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2015","12","cet4","全国","2015-12-set-1","大学英语四级写作真题 2015-12 第1套","For this part, you are allowed 30 minutes to write an essay commenting on the saying ""Learning is a daily experience and a lifetime mission."" You can cite examples to illustrate the importance of lifelong learning. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2015","12","cet4","全国","2015-12-set-2","大学英语四级写作真题 2015-12 第2套","For this part, you are allowed 30 minutes to write an essay commenting on the saying ""Listening is more important than talking."" You can cite examples to illustrate the importance of paying attention to others' opinions. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2015","12","cet4","全国","2015-12-set-3","大学英语四级写作真题 2015-12 第3套","For this part, you are allowed 30 minutes to write an essay commenting on the saying ""Never go out there to see what happens, go out there to make things happen."" You can cite examples to illustrate the importance of being participants rather than mere onlookers in life. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2016","06","cet4","全国","2016-06-set-1","大学英语四级写作真题 2016-06 第1套","For this part, you are allowed 30 minutes to write a letter to express your thanks to one of your school teachers upon entering college. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2016","06","cet4","全国","2016-06-set-2","大学英语四级写作真题 2016-06 第2套","For this part, you are allowed 30 minutes to write a letter to express your thanks to one of your friends who helped you most when you were in difficulty. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2016","06","cet4","全国","2016-06-set-3","大学英语四级写作真题 2016-06 第3套","For this part, you are allowed 30 minutes to write a letter to express your thanks to your parents or any other family member upon making a memorable achievement. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2016","12","cet4","全国","2016-12-set-1","大学英语四级写作真题 2016-12 第1套","For this part, you are allowed 30 minutes to write an essay. Suppose you have two options upon graduation: one is to find a job somewhere and the other to start a business of your own. You are to make a decision. Write an essay to explain the reasons for your decision. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2016","12","cet4","全国","2016-12-set-2","大学英语四级写作真题 2016-12 第2套","For this part, you are allowed 30 minutes to write an essay. Suppose you have two options upon graduation: one is to take a job in a company and the other to go to a graduate school. You are to make a choice between the two. Write an essay to explain the reasons for your choice. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2016","12","cet4","全国","2016-12-set-3","大学英语四级写作真题 2016-12 第3套","For this part, you are allowed 30 minutes to write an essay. Suppose you have two options upon graduation: one is to work in a state-owned business and the other in a joint venture. You are to make a choice between the two. Write an essay to explain the reasons for your choice. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2017","06","cet4","全国","2017-06-set-1","大学英语四级写作真题 2017-06 第1套","For this part, you are allowed 30 minutes to write an advertisement on your campus website to sell a bicycle you used at college. Your advertisement may include its brand, features, condition and price, and your contact information. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2017","06","cet4","全国","2017-06-set-2","大学英语四级写作真题 2017-06 第2套","For this part, you are allowed 30 minutes to write an advertisement on your campus website to sell some of the course books you used at college. Your advertisement may include a brief description of their content, their condition and price, and your contact information. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2017","06","cet4","全国","2017-06-set-3","大学英语四级写作真题 2017-06 第3套","For this part, you are allowed 30 minutes to write an advertisement on your campus website to sell a computer you used at college. Your advertisement may include its brand, specifications/features, content, their condition and price, and your contact information. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2017","12","cet4","全国","2017-12-set-1","大学英语四级写作真题 2017-12 第1套","For this part, you are allowed 30 minutes to write a short essay on how to best handle the relationship between parents and children. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2017","12","cet4","全国","2017-12-set-2","大学英语四级写作真题 2017-12 第2套","For this part, you are allowed 30 minutes to write a short essay on how to best handle the relationship between teachers and students. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2017","12","cet4","全国","2017-12-set-3","大学英语四级写作真题 2017-12 第3套","For this part, you are allowed 30 minutes to write a short essay on how to best handle the relationship between doctors and patients. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2018","06","cet4","全国","2018-06-set-1","大学英语四级写作真题 2018-06 第1套","For this part, you are allowed 30 minutes to write a short essay on the importance of reading ability and how to develop it. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2018","06","cet4","全国","2018-06-set-2","大学英语四级写作真题 2018-06 第2套","For this part, you are allowed 30 minutes to write a short essay on the importance of writing ability and how to develop it. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2018","06","cet4","全国","2018-06-set-3","大学英语四级写作真题 2018-06 第3套","For this part, you are allowed 30 minutes to write a short essay on the importance of speaking ability and how to develop it. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2018","12","cet4","全国","2018-12-set-1","大学英语四级写作真题 2018-12 第1套","For this part, you are allowed 30 minutes to write a short essay on the challenges of living in a big city. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2018","12","cet4","全国","2018-12-set-2","大学英语四级写作真题 2018-12 第2套","For this part, you are allowed 30 minutes to write a short essay on the challenges of studying abroad. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2018","12","cet4","全国","2018-12-set-3","大学英语四级写作真题 2018-12 第3套","For this part, you are allowed 30 minutes to write a short essay on the challenges of starting a career after graduation. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2019","06","cet4","全国","2019-06-set-1","大学英语四级写作真题 2019-06 第1套","For this part, you are allowed 30 minutes to write a news report to your campus newspaper on a visit to a local farm organized by your Student Union. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2019","06","cet4","全国","2019-06-set-2","大学英语四级写作真题 2019-06 第2套","For this part, you are allowed 30 minutes to write a news report to your campus newspaper on a visit to a Hope elementary school organized by your Student Union. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2019","06","cet4","全国","2019-06-set-3","大学英语四级写作真题 2019-06 第3套","For this part, you are allowed 30 minutes to write a news report to your campus newspaper on a visit to a volunteer activity organized by your Student Union to assist elderly people in the neighborhood. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2019","12","cet4","全国","2019-12-set-1","大学英语四级写作真题 2019-12 第1套","For this part, you are allowed 30 minutes to write a letter to a foreign friend who wants to teach English in China. Please recommend a city to him. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2019","12","cet4","全国","2019-12-set-2","大学英语四级写作真题 2019-12 第2套","For this part, you are allowed 30 minutes to write a letter to a foreign friend who wants to learn Chinese. Please recommend a place to him. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2019","12","cet4","全国","2019-12-set-3","大学英语四级写作真题 2019-12 第3套","For this part, you are allowed 30 minutes to write a letter to a foreign friend who wants to study in China. Please recommend a university to him. You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2020","07","cet4","全国","2020-07-set-1","大学英语四级写作真题 2020-07 第1套","For this part, you are allowed 30 minutes to write an essay on the use of translation apps. You can start your essay with the sentence The use of translation apps is becoming increasingly popular. "" You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2020","09","cet4","全国","2020-09-set-1","大学英语四级写作真题 2020-09 第1套","For this part, you are allowed 30 minutes to write an essay on online libraries. You can start your essay with the sentence ""Online libraries are becoming increasingly popular"". You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
"2020","09","cet4","全国","2020-09-set-2","大学英语四级写作真题 2020-09 第2套","For this part, you are allowed 30 minutes to write an essay on the use of PowerPoint(PPT) in class. You can start your essay with the sentence ""The use of PowerPoint is becoming increasingly popular in class"". You should write at least 120 words but no more than 180 words.","","120-180","","四级写作真题合集（2015-2025年6月）.pdf","1"
